Year,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player,Share
9,Premier League,Liverpool FC,1,2,5,0,1,5,0,2,,16,Steven Gerrard,0.0222
9,Champions League,Liverpool FC,0,3,1,0,1,1,0,1,,7,Steven Gerrard,0.0222
9,FA Cup,Liverpool FC,0,0,0,0,1,0,0,0,,1,Steven Gerrard,0.0222
8,Premier League,Liverpool FC,1,2,0,0,3,0,5,0,,11,Steven Gerrard,0.0194
8,Champions League,Liverpool FC,1,0,0,0,0,1,4,0,,6,Steven Gerrard,0.0194
8,FA Cup,Liverpool FC,0,0,0,0,1,2,0,0,,3,Steven Gerrard,0.0194
8,EFL Cup,Liverpool FC,0,0,0,0,0,1,0,0,,1,Steven Gerrard,0.0194
8,LaLiga,Villarreal CF,2,0,2,0,0,0,0,0,,4,Marcos Senna,0.0111
8,Copa del Rey,Villarreal CF,1,0,0,0,0,0,0,0,,1,Marcos Senna,0.0111
8,UEFA Cup,Villarreal CF,0,1,0,0,0,0,0,0,,1,Marcos Senna,0.0111
8,Premier League,Arsenal FC,3,5,3,0,5,1,5,2,0,24,Emmanuel Adebayor,0.0083
8,Champions League,Arsenal FC,0,1,0,0,0,0,1,1,0,3,Emmanuel Adebayor,0.0083
8,FA Cup,Arsenal FC,0,0,0,0,1,0,1,0,0,2,Emmanuel Adebayor,0.0083
8,EFL Cup,Arsenal FC,0,0,0,0,0,1,0,0,0,1,Emmanuel Adebayor,0.0083
12,Premier League,Manchester United,4,4,6,0,3,7,3,0,0,27,Wayne Rooney,0.0039
12,Europa League,Manchester United,0,1,0,0,0,0,1,1,0,3,Wayne Rooney,0.0039
12,FA Cup,Manchester United,1,0,1,0,0,0,0,0,0,2,Wayne Rooney,0.0039
12,Champions League,Manchester United,0,0,0,0,0,1,0,1,0,2,Wayne Rooney,0.0039
11,Champions League,Manchester United,0,1,1,0,0,1,1,0,0,4,Wayne Rooney,0.0231
11,Premier League,Manchester United,2,1,1,1,0,3,3,0,0,11,Wayne Rooney,0.0231
11,FA Cup,Manchester United,0,0,0,0,1,0,0,0,0,1,Wayne Rooney,0.0231
9,Premier League,Manchester United,2,2,1,0,1,5,1,0,0,12,Wayne Rooney,0.0243
9,Champions League,Manchester United,1,1,0,0,1,0,1,0,0,4,Wayne Rooney,0.0243
9,FA Cup,Manchester United,0,0,0,0,1,0,0,0,0,1,Wayne Rooney,0.0243
9,Club World Cup,Manchester United,0,0,0,0,0,2,1,0,0,3,Wayne Rooney,0.0243
8,Premier League,Manchester United,0,2,3,0,2,2,3,0,0,12,Wayne Rooney,0.0076
8,Champions League,Manchester United,0,1,0,0,0,2,1,0,0,4,Wayne Rooney,0.0076
8,FA Cup,Manchester United,0,1,0,0,0,0,1,0,0,2,Wayne Rooney,0.0076
19,Premier League,Manchester City,4,5,4,1,3,4,0,0,,21,Sergio Agüero,0.0043
19,Champions League,Manchester City,1,1,2,0,1,0,1,0,,6,Sergio Agüero,0.0043
19,FA Cup,Manchester City,0,0,0,0,0,0,2,0,,2,Sergio Agüero,0.0043
19,EFL Cup,Manchester City,0,1,0,0,0,0,0,0,,1,Sergio Agüero,0.0043
19,Community Shield,Manchester City,1,0,0,0,1,0,0,0,,2,Sergio Agüero,0.0043
18,EFL Cup,Manchester City,0,1,0,0,1,0,0,1,,3,Sergio Agüero,0.0024
18,Champions League,Manchester City,1,1,0,0,0,1,0,1,,4,Sergio Agüero,0.0024
18,Premier League,Manchester City,0,4,2,0,4,3,8,0,,21,Sergio Agüero,0.0024
18,FA Cup,Manchester City,0,0,0,0,2,0,0,0,,2,Sergio Agüero,0.0024
16,Premier League,Manchester City,3,3,6,0,6,2,4,0,,24,Sergio Agüero,0.0
16,Champions League,Manchester City,1,0,0,0,0,0,1,0,,2,Sergio Agüero,0.0
16,EFL Cup,Manchester City,1,0,0,0,0,0,1,0,,2,Sergio Agüero,0.0
16,FA Cup,Manchester City,0,1,0,0,0,0,0,0,,1,Sergio Agüero,0.0
15,Premier League,Manchester City,6,4,3,0,1,7,4,1,,26,Sergio Agüero,0.0083
15,Champions League,Manchester City,1,2,0,0,0,1,1,1,,6,Sergio Agüero,0.0083
12,Premier League,Manchester City,4,4,1,0,5,6,2,1,,23,Sergio Agüero,0.003
12,Europa League,Manchester City,1,0,0,0,1,0,2,0,,4,Sergio Agüero,0.003
12,FA Cup,Manchester City,0,0,0,0,0,1,0,0,,1,Sergio Agüero,0.003
12,EFL Cup,Manchester City,0,0,0,0,0,0,1,0,,1,Sergio Agüero,0.003
12,Champions League,Manchester City,0,0,0,0,0,0,0,1,,1,Sergio Agüero,0.003
11,LaLiga,Atlético de Madrid,2,0,4,0,4,4,6,0,,20,Sergio Agüero,0.0048
11,Copa del Rey,Atlético de Madrid,0,1,1,0,1,0,0,0,,3,Sergio Agüero,0.0048
11,Europa League,Atlético de Madrid,1,1,0,0,0,1,0,0,,3,Sergio Agüero,0.0048
11,UEFA Super Cup,Atlético de Madrid,0,0,0,0,0,0,1,0,,1,Sergio Agüero,0.0048
8,LaLiga,Atlético de Madrid,3,4,2,0,4,4,2,0,,19,Sergio Agüero,0.0069
8,Copa del Rey,Atlético de Madrid,0,1,0,0,1,0,0,0,,2,Sergio Agüero,0.0069
8,UEFA Cup,Atlético de Madrid,2,0,1,0,1,0,1,0,,5,Sergio Agüero,0.0069
8,UEFA-Cup Qualifikation,Atlético de Madrid,0,0,0,0,0,1,0,0,,1,Sergio Agüero,0.0069
9,Hessenliga,Kickers Offenbach II,0,4,0,0,1,1,1,0,,7,Frank Lampard,0.0035
8,Oberliga Hessen,SV Wehen Wiesbaden II,0,0,0,0,0,1,1,0,,2,Frank Lampard,0.0056
13,Bundesliga,Bayern Munich,0,3,2,0,2,1,2,0,0,10,Franck Ribéry,0.2336
13,Champions League,Bayern Munich,0,0,0,0,0,0,0,1,0,1,Franck Ribéry,0.2336
9,Bundesliga,Bayern Munich,1,2,2,0,1,2,1,0,0,9,Franck Ribéry,0.0007
9,Champions League,Bayern Munich,0,0,2,0,1,1,0,0,0,4,Franck Ribéry,0.0007
