Season,Competition,Club,Appearances,Goals,Assists,Yellow cards,Sesond yellow cards,Red cards,Minutes played,Player,Second yellow cards,Goals conceded,Clean sheets
18/19,Champions League Qu.,Ajax Amsterdam,6,-,-,-,-,-,529,Frenkie de Jong,,,
17/18,Europa League Qualifying,Ajax Amsterdam,-,-,-,-,-,-,-,Frenkie de Jong,,,
17/18,Champions League Qu.,Ajax Amsterdam,2,-,-,-,-,-,29,Frenkie de Jong,,,
16/17,Europa League,Ajax Amsterdam,4,-,-,-,-,-,48,Frenkie de Jong,,,
22/23,Champions League,Chelsea FC,9,3,1,1,-,-,638,Raheem Sterling,,,
21/22,Champions League,Manchester City,12,3,2,1,-,-,579,Raheem Sterling,,,
20/21,Champions League,Manchester City,11,1,3,1,-,-,648,Raheem Sterling,,,
19/20,Champions League,Manchester City,9,6,5,-,-,-,599,Raheem Sterling,,,
18/19,Champions League,Manchester City,10,5,3,1,-,-,871,Raheem Sterling,,,
17/18,Champions League,Manchester City,8,4,1,1,-,-,495,Raheem Sterling,,,
16/17,Champions League,Manchester City,7,2,4,3,-,-,577,Raheem Sterling,,,
16/17,Champions League Qu.,Manchester City,1,-,2,-,-,-,90,Raheem Sterling,,,
15/16,Champions League,Manchester City,10,3,2,-,-,-,579,Raheem Sterling,,,
14/15,Europa League,Liverpool FC,2,-,-,-,-,-,133,Raheem Sterling,,,
14/15,Champions League,Liverpool FC,6,-,1,1,-,-,463,Raheem Sterling,,,
12/13,Europa League,Liverpool FC,7,-,-,-,-,-,185,Raheem Sterling,,,
12/13,Europa League Qualifying,Liverpool FC,3,-,-,-,-,-,185,Raheem Sterling,,,
23/24,Champions League,Bayern Munich,1,-,-,-,-,-,90,Matthijs de Ligt,,,
22/23,Champions League,Bayern Munich,7,-,-,1,-,-,615,Matthijs de Ligt,,,
21/22,Champions League,Juventus FC,7,-,-,2,-,-,627,Matthijs de Ligt,,,
20/21,Champions League,Juventus FC,5,-,-,1,-,-,405,Matthijs de Ligt,,,
19/20,Champions League,Juventus FC,6,-,-,-,-,-,540,Matthijs de Ligt,,,
18/19,Champions League,Ajax Amsterdam,11,2,-,2,-,-,990,Matthijs de Ligt,,,
18/19,Champions League Qu.,Ajax Amsterdam,6,1,-,-,-,-,540,Matthijs de Ligt,,,
17/18,Europa League Qualifying,Ajax Amsterdam,2,-,-,-,-,-,180,Matthijs de Ligt,,,
17/18,Champions League Qu.,Ajax Amsterdam,2,-,-,1,-,-,176,Matthijs de Ligt,,,
16/17,Europa League,Ajax Amsterdam,9,-,-,2,-,-,794,Matthijs de Ligt,,,
16/17,UEFA Youth League,Ajax Amsterdam UEFA U19,3,1,-,-,-,-,226,Matthijs de Ligt,,,
16/17,Champions League Qu.,Ajax Amsterdam,-,-,-,-,-,-,-,Matthijs de Ligt,,,
15/16,UEFA Youth League,Ajax Amsterdam UEFA U19,7,1,1,-,-,-,611,Matthijs de Ligt,,,
23/24,Europa League,Liverpool FC,4,-,2,-,-,-,208,Trent Alexander-Arnold,,,
22/23,Champions League,Liverpool FC,7,1,-,2,-,-,627,Trent Alexander-Arnold,,,
21/22,Champions League,Liverpool FC,9,-,4,2,-,-,795,Trent Alexander-Arnold,,,
20/21,Champions League,Liverpool FC,8,-,2,2,-,-,712,Trent Alexander-Arnold,,,
19/20,Champions League,Liverpool FC,7,-,1,1,-,-,582,Trent Alexander-Arnold,,,
19/20,Club World Cup,Liverpool FC,2,-,1,-,-,-,136,Trent Alexander-Arnold,,,
19/20,UEFA Super Cup,Liverpool FC,1,-,-,1,-,-,30,Trent Alexander-Arnold,,,
18/19,Champions League,Liverpool FC,11,-,4,-,-,-,922,Trent Alexander-Arnold,,,
17/18,Champions League,Liverpool FC,10,1,1,2,-,-,818,Trent Alexander-Arnold,,,
17/18,Champions League Qu.,Liverpool FC,2,1,-,1,-,-,155,Trent Alexander-Arnold,,,
14/15,UEFA Youth League,Liverpool FC UEFA U19,2,-,-,-,-,-,-5,Trent Alexander-Arnold,,,
23/24,Conference League,Fenerbahce,6,-,1,-,-,-,310,Dušan Tadić,,,
23/24,UECL Qualifiers,Fenerbahce,6,4,1,-,-,-,505,Dušan Tadić,,,
22/23,Europa League,Ajax Amsterdam,2,-,-,1,-,-,180,Dušan Tadić,,,
22/23,Champions League,Ajax Amsterdam,5,-,1,1,1,-,433,Dušan Tadić,,,
21/22,Champions League,Ajax Amsterdam,7,2,1,-,-,-,630,Dušan Tadić,,,
20/21,Europa League,Ajax Amsterdam,6,3,2,-,-,-,540,Dušan Tadić,,,
20/21,Champions League,Ajax Amsterdam,6,2,3,-,-,-,540,Dušan Tadić,,,
19/20,Europa League,Ajax Amsterdam,2,-,-,-,-,-,180,Dušan Tadić,,,
19/20,Champions League,Ajax Amsterdam,6,-,3,2,-,-,540,Dušan Tadić,,,
19/20,Champions League Qu.,Ajax Amsterdam,4,3,-,1,-,-,360,Dušan Tadić,,,
18/19,Champions League,Ajax Amsterdam,12,6,5,1,-,-,1080,Dušan Tadić,,,
18/19,Champions League Qu.,Ajax Amsterdam,6,3,3,1,-,-,451,Dušan Tadić,,,
16/17,Europa League,Southampton FC,5,-,1,-,-,-,306,Dušan Tadić,,,
15/16,Europa League Qualifying,Southampton FC,3,1,-,1,-,-,161,Dušan Tadić,,,
12/13,Europa League,Twente Enschede FC,6,1,1,2,-,-,468,Dušan Tadić,,,
12/13,Europa League Qualifying,Twente Enschede FC,7,2,5,-,-,-,584,Dušan Tadić,,,
09/10,Europa League Qualifying,FK Vojvodina Novi Sad,2,1,-,-,-,-,152,Dušan Tadić,,,
08/09,UEFA-Cup Qualifikation,FK Vojvodina Novi Sad,2,-,-,-,-,-,180,Dušan Tadić,,,
07/08,UEFA-Cup Qualifikation,FK Vojvodina Novi Sad,3,-,-,1,-,-,239,Dušan Tadić,,,
22/23,Champions League,Tottenham Hotspur,8,2,-,1,-,-,624,Son Heung-min,,,
21/22,Conference League,Tottenham Hotspur,3,1,1,-,-,-,138,Son Heung-min,,,
21/22,UECL Qualifiers,Tottenham Hotspur,1,-,-,-,-,-,18,Son Heung-min,,,
20/21,Europa League,Tottenham Hotspur,7,3,1,-,-,-,325,Son Heung-min,,,
20/21,Europa League Qualifying,Tottenham Hotspur,2,1,2,-,-,-,180,Son Heung-min,,,
19/20,Champions League,Tottenham Hotspur,6,5,1,-,-,-,365,Son Heung-min,,,
18/19,Champions League,Tottenham Hotspur,12,4,1,3,-,-,905,Son Heung-min,,,
17/18,Champions League,Tottenham Hotspur,7,4,-,-,-,-,426,Son Heung-min,,,
16/17,Europa League,Tottenham Hotspur,2,-,-,-,-,-,54,Son Heung-min,,,
16/17,Champions League,Tottenham Hotspur,6,1,-,-,-,-,425,Son Heung-min,,,
15/16,Europa League,Tottenham Hotspur,7,3,3,-,-,-,502,Son Heung-min,,,
15/16,Champions League Qu.,Bayer 04 Leverkusen,1,-,-,-,-,-,46,Son Heung-min,,,
14/15,Champions League,Bayer 04 Leverkusen,8,3,1,-,-,-,605,Son Heung-min,,,
14/15,Champions League Qu.,Bayer 04 Leverkusen,2,2,-,-,-,-,180,Son Heung-min,,,
13/14,Champions League,Bayer 04 Leverkusen,8,-,2,1,-,-,508,Son Heung-min,,,
23/24,AFC Champions League,Al-Hilal SFC,5,-,-,1,-,-,436,Kalidou Koulibaly,,,
22/23,Champions League,Chelsea FC,7,-,-,2,-,-,570,Kalidou Koulibaly,,,
21/22,Europa League,SSC Napoli,7,-,-,2,-,-,630,Kalidou Koulibaly,,,
20/21,Europa League,SSC Napoli,7,-,-,3,-,-,630,Kalidou Koulibaly,,,
19/20,Champions League,SSC Napoli,7,-,-,2,-,-,630,Kalidou Koulibaly,,,
18/19,Europa League,SSC Napoli,5,-,-,1,-,-,450,Kalidou Koulibaly,,,
18/19,Champions League,SSC Napoli,6,-,-,2,-,-,540,Kalidou Koulibaly,,,
17/18,Europa League,SSC Napoli,1,-,-,1,-,-,90,Kalidou Koulibaly,,,
17/18,Champions League,SSC Napoli,5,-,-,3,-,-,450,Kalidou Koulibaly,,,
17/18,Champions League Qu.,SSC Napoli,2,-,-,1,-,-,180,Kalidou Koulibaly,,,
16/17,Champions League,SSC Napoli,8,-,-,2,-,-,720,Kalidou Koulibaly,,,
15/16,Europa League,SSC Napoli,7,-,1,1,-,-,608,Kalidou Koulibaly,,,
14/15,Europa League,SSC Napoli,7,-,1,-,-,-,548,Kalidou Koulibaly,,,
14/15,Champions League Qu.,SSC Napoli,2,-,-,-,-,-,180,Kalidou Koulibaly,,,
13/14,Europa League,KRC Genk,7,-,-,2,-,-,609,Kalidou Koulibaly,,,
13/14,Europa League Qualifying,KRC Genk,2,-,-,-,-,-,180,Kalidou Koulibaly,,,
12/13,Europa League,KRC Genk,7,-,-,3,-,-,630,Kalidou Koulibaly,,,
12/13,Europa League Qualifying,KRC Genk,2,-,-,-,-,-,134,Kalidou Koulibaly,,,
23/24,Champions League,FC Barcelona,4,-,,-,,-,360,Marc-André ter Stegen,-,2,2
22/23,Europa League,FC Barcelona,2,-,,-,,-,180,Marc-André ter Stegen,-,4,-
22/23,Champions League,FC Barcelona,5,-,,-,,-,450,Marc-André ter Stegen,-,10,-
21/22,Europa League,FC Barcelona,6,-,,-,,-,540,Marc-André ter Stegen,-,8,1
21/22,Champions League,FC Barcelona,6,-,,-,,-,540,Marc-André ter Stegen,-,9,3
20/21,Champions League,FC Barcelona,5,-,,-,,-,450,Marc-André ter Stegen,-,9,1
19/20,Champions League,FC Barcelona,8,-,,-,,-,720,Marc-André ter Stegen,-,13,2
18/19,Champions League,FC Barcelona,11,-,,-,,-,990,Marc-André ter Stegen,-,9,6
17/18,Champions League,FC Barcelona,9,-,,-,,-,810,Marc-André ter Stegen,-,6,5
16/17,Champions League,FC Barcelona,9,-,,1,,-,810,Marc-André ter Stegen,-,12,4
15/16,Champions League,FC Barcelona,10,-,,-,,-,900,Marc-André ter Stegen,-,8,3
15/16,Club World Cup,FC Barcelona,-,-,,-,,-,-,Marc-André ter Stegen,-,-,-
15/16,UEFA Super Cup,FC Barcelona,1,-,,-,,-,120,Marc-André ter Stegen,-,4,-
14/15,Champions League,FC Barcelona,13,-,,-,,-,1170,Marc-André ter Stegen,-,11,6
12/13,Europa League,Borussia Mönchengladbach,7,-,,-,,-,630,Marc-André ter Stegen,-,11,3
12/13,Champions League Qu.,Borussia Mönchengladbach,2,-,,-,,-,180,Marc-André ter Stegen,-,4,-
22/23,Europa League,AS Roma,9,-,-,-,-,-,319,Georginio Wijnaldum,,,
21/22,Champions League,Paris Saint-Germain,5,2,-,-,-,-,262,Georginio Wijnaldum,,,
20/21,Champions League,Liverpool FC,9,-,-,2,-,-,719,Georginio Wijnaldum,,,
19/20,Champions League,Liverpool FC,8,2,-,-,-,-,550,Georginio Wijnaldum,,,
19/20,Club World Cup,Liverpool FC,-,-,-,-,-,-,-,Georginio Wijnaldum,,,
19/20,UEFA Super Cup,Liverpool FC,1,-,-,-,-,-,56,Georginio Wijnaldum,,,
18/19,Champions League,Liverpool FC,12,2,1,1,-,-,970,Georginio Wijnaldum,,,
17/18,Champions League,Liverpool FC,12,1,2,-,-,-,850,Georginio Wijnaldum,,,
17/18,Champions League Qu.,Liverpool FC,2,-,-,-,-,-,180,Georginio Wijnaldum,,,
14/15,Europa League,PSV Eindhoven,7,2,1,1,-,-,549,Georginio Wijnaldum,,,
14/15,Europa League Qualifying,PSV Eindhoven,1,-,-,-,-,-,90,Georginio Wijnaldum,,,
13/14,Champions League Qu.,PSV Eindhoven,4,-,1,-,-,-,360,Georginio Wijnaldum,,,
12/13,Europa League,PSV Eindhoven,4,1,-,2,-,-,360,Georginio Wijnaldum,,,
12/13,Europa League Qualifying,PSV Eindhoven,1,3,-,-,-,-,90,Georginio Wijnaldum,,,
11/12,Europa League,PSV Eindhoven,10,3,-,-,-,-,747,Georginio Wijnaldum,,,
11/12,Europa League Qualifying,PSV Eindhoven,2,1,1,-,-,-,178,Georginio Wijnaldum,,,
10/11,Europa League Qualifying,Feyenoord Rotterdam,2,-,-,1,-,-,180,Georginio Wijnaldum,,,
08/09,UEFA Cup,Feyenoord Rotterdam,6,1,-,-,-,-,488,Georginio Wijnaldum,,,
23/24,Champions League,FC Barcelona,5,3,1,2,-,-,318,João Félix,,,
22/23,Champions League,Chelsea FC,4,-,-,-,-,-,245,João Félix,,,
22/23,Champions League,Atlético de Madrid,5,-,-,-,-,-,218,João Félix,,,
21/22,Champions League,Atlético de Madrid,8,1,1,2,-,-,574,João Félix,,,
20/21,Champions League,Atlético de Madrid,8,3,-,-,-,-,708,João Félix,,,
19/20,Champions League,Atlético de Madrid,6,3,1,-,-,-,426,João Félix,,,
18/19,Europa League,SL Benfica,6,3,1,2,-,-,494,João Félix,,,
18/19,Champions League,SL Benfica,1,-,-,-,-,-,77,João Félix,,,
18/19,Champions League Qu.,SL Benfica,2,-,-,-,-,-,15,João Félix,,,
17/18,UEFA Youth League,SL Benfica Youth League,5,1,-,2,-,-,414,João Félix,,,
16/17,UEFA Youth League,SL Benfica Youth League,10,6,1,2,-,-,807,João Félix,,,
23/24,Champions League,Paris Saint-Germain,5,-,1,1,-,-,450,Marquinhos,,,
22/23,Champions League,Paris Saint-Germain,8,-,-,-,-,-,655,Marquinhos,,,
21/22,Champions League,Paris Saint-Germain,8,-,1,-,-,-,720,Marquinhos,,,
20/21,Champions League,Paris Saint-Germain,10,3,-,-,-,-,817,Marquinhos,,,
19/20,Champions League,Paris Saint-Germain,11,2,-,1,-,-,970,Marquinhos,,,
18/19,Champions League,Paris Saint-Germain,7,1,-,1,-,-,630,Marquinhos,,,
17/18,Champions League,Paris Saint-Germain,8,-,1,1,-,-,720,Marquinhos,,,
16/17,Champions League,Paris Saint-Germain,8,-,-,2,-,-,720,Marquinhos,,,
15/16,Champions League,Paris Saint-Germain,6,-,-,-,-,-,540,Marquinhos,,,
14/15,Champions League,Paris Saint-Germain,7,-,-,1,-,-,660,Marquinhos,,,
13/14,Champions League,Paris Saint-Germain,8,3,1,-,-,-,530,Marquinhos,,,
2012,Libertadores,Sport Club Corinthians Paulista,-,-,-,-,-,-,-,Marquinhos,,,
22/23,Europa League,Manchester United,2,-,-,-,-,-,69,Donny van de Beek,,,
21/22,Champions League,Manchester United,4,-,-,1,-,-,205,Donny van de Beek,,,
20/21,Europa League,Manchester United,3,-,-,-,-,-,139,Donny van de Beek,,,
20/21,Champions League,Manchester United,6,-,-,-,-,-,276,Donny van de Beek,,,
19/20,Europa League,Ajax Amsterdam,2,-,1,-,-,-,180,Donny van de Beek,,,
19/20,Champions League,Ajax Amsterdam,5,2,1,1,-,-,448,Donny van de Beek,,,
19/20,Champions League Qu.,Ajax Amsterdam,3,-,-,-,-,-,269,Donny van de Beek,,,
18/19,Champions League,Ajax Amsterdam,12,3,2,2,-,-,985,Donny van de Beek,,,
18/19,Champions League Qu.,Ajax Amsterdam,6,1,-,-,-,-,304,Donny van de Beek,,,
17/18,Europa League Qualifying,Ajax Amsterdam,2,-,-,-,-,-,136,Donny van de Beek,,,
17/18,Champions League Qu.,Ajax Amsterdam,2,2,-,1,-,-,180,Donny van de Beek,,,
16/17,Europa League,Ajax Amsterdam,10,-,1,-,-,-,545,Donny van de Beek,,,
16/17,Champions League Qu.,Ajax Amsterdam,1,-,-,-,-,-,77,Donny van de Beek,,,
15/16,UEFA Youth League,Ajax Amsterdam UEFA U19,6,2,4,-,-,-,540,Donny van de Beek,,,
15/16,Europa League,Ajax Amsterdam,2,1,-,-,-,-,82,Donny van de Beek,,,
14/15,UEFA Youth League,Ajax Amsterdam UEFA U19,7,4,1,-,-,-,623,Donny van de Beek,,,
23/24,Champions League,Arsenal FC,5,1,-,1,-,-,299,Jorginho,,,
22/23,Europa League,Arsenal FC,2,-,-,-,-,-,136,Jorginho,,,
22/23,Champions League,Chelsea FC,6,1,-,-,-,-,415,Jorginho,,,
21/22,Champions League,Chelsea FC,8,2,2,-,-,-,560,Jorginho,,,
21/22,Club World Cup,Chelsea FC,1,-,-,-,-,-,46,Jorginho,,,
21/22,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,55,Jorginho,,,
20/21,Champions League,Chelsea FC,12,1,1,4,-,-,1031,Jorginho,,,
19/20,Champions League,Chelsea FC,7,2,-,3,-,-,612,Jorginho,,,
19/20,UEFA Super Cup,Chelsea FC,1,1,-,-,-,-,120,Jorginho,,,
18/19,Europa League,Chelsea FC,11,-,-,-,-,-,740,Jorginho,,,
17/18,Europa League,SSC Napoli,1,-,-,-,-,-,8,Jorginho,,,
17/18,Champions League,SSC Napoli,2,1,-,-,-,-,162,Jorginho,,,
17/18,Champions League Qu.,SSC Napoli,2,1,-,-,-,-,175,Jorginho,,,
16/17,Champions League,SSC Napoli,4,-,-,1,-,-,329,Jorginho,,,
15/16,Europa League,SSC Napoli,2,-,2,1,-,-,105,Jorginho,,,
14/15,Europa League,SSC Napoli,6,-,-,1,-,-,511,Jorginho,,,
14/15,Champions League Qu.,SSC Napoli,2,-,-,1,-,-,180,Jorginho,,,
09/10,Viareggio Cup,Sassuolo Primavera,3,-,-,-,-,-,281,Jorginho,,,
23/24,Champions League,Paris Saint-Germain,6,-,,1,,-,540,Gianluigi Donnarumma,-,8,2
22/23,Champions League,Paris Saint-Germain,8,-,,-,,-,720,Gianluigi Donnarumma,-,10,-
21/22,Champions League,Paris Saint-Germain,5,-,,2,,-,450,Gianluigi Donnarumma,-,6,2
20/21,Europa League,AC Milan,8,-,,2,,-,720,Gianluigi Donnarumma,-,12,-
20/21,Europa League Qualifying,AC Milan,3,-,,-,,-,300,Gianluigi Donnarumma,-,4,1
18/19,Europa League,AC Milan,-,-,,-,,-,-,Gianluigi Donnarumma,-,-,-
17/18,Europa League,AC Milan,8,-,,1,,-,720,Gianluigi Donnarumma,-,9,3
17/18,Europa League Qualifying,AC Milan,3,-,,-,,-,270,Gianluigi Donnarumma,-,-,3
14/15,Viareggio Cup,Milan Primavera,2,-,,-,,1,167,Gianluigi Donnarumma,-,3,-
23/24,Champions League,Manchester City,5,5,1,-,-,-,421,Erling Haaland,,,
23/24,UEFA Super Cup,Manchester City,1,-,-,-,-,-,90,Erling Haaland,,,
22/23,Champions League,Manchester City,11,12,1,1,-,-,846,Erling Haaland,,,
21/22,Champions League,Borussia Dortmund,3,3,-,-,-,-,203,Erling Haaland,,,
20/21,Champions League,Borussia Dortmund,8,10,2,2,-,-,706,Erling Haaland,,,
19/20,Champions League,Borussia Dortmund,2,2,-,1,-,-,180,Erling Haaland,,,
19/20,Champions League,Red Bull Salzburg,6,8,1,1,-,-,374,Erling Haaland,,,
18/19,Europa League,Red Bull Salzburg,1,-,-,-,-,-,4,Erling Haaland,,,
18/19,Europa League Qualifying,Molde FK,5,4,1,1,-,-,406,Erling Haaland,,,
17/18,UEFA Youth League,Molde FK UEFA U19,1,-,-,-,-,-,30,Erling Haaland,,,
23/24,Europa League,AS Roma,6,5,1,-,-,-,497,Romelu Lukaku,,,
22/23,Champions League,Inter Milan,8,3,1,1,-,-,177,Romelu Lukaku,,,
21/22,Champions League,Chelsea FC,6,2,1,-,-,-,320,Romelu Lukaku,,,
21/22,Club World Cup,Chelsea FC,2,2,-,-,-,-,166,Romelu Lukaku,,,
20/21,Champions League,Inter Milan,5,4,-,1,-,-,446,Romelu Lukaku,,,
19/20,Europa League,Inter Milan,6,7,2,-,-,-,443,Romelu Lukaku,,,
19/20,Champions League,Inter Milan,5,2,2,-,-,-,405,Romelu Lukaku,,,
18/19,Champions League,Manchester United,9,2,1,1,-,-,546,Romelu Lukaku,,,
17/18,Champions League,Manchester United,8,5,-,-,-,-,704,Romelu Lukaku,,,
17/18,UEFA Super Cup,Manchester United,1,1,-,-,-,-,90,Romelu Lukaku,,,
14/15,Europa League,Everton FC,9,8,2,3,-,-,632,Romelu Lukaku,,,
13/14,UEFA Super Cup,Chelsea FC,1,-,-,1,-,-,22,Romelu Lukaku,,,
10/11,Europa League,RSC Anderlecht,8,1,-,1,-,-,512,Romelu Lukaku,,,
10/11,Champions League Qu.,RSC Anderlecht,3,3,-,1,-,-,212,Romelu Lukaku,,,
09/10,Europa League,RSC Anderlecht,10,4,4,1,-,-,704,Romelu Lukaku,,,
09/10,Champions League Qu.,RSC Anderlecht,1,-,-,-,-,-,18,Romelu Lukaku,,,
08/09,Viareggio Cup,RSC Anderlecht U19,2,1,-,1,-,-,165,Romelu Lukaku,,,
2023,Campeones Cup,Los Angeles FC,1,-,-,-,-,-,90,Giorgio Chiellini,,,
2023,Leagues Cup,Los Angeles FC,3,-,-,1,-,-,219,Giorgio Chiellini,,,
22/23,CONCACAF Champions Cup,Los Angeles FC,3,-,-,1,-,-,226,Giorgio Chiellini,,,
2022,Leagues Cup,Los Angeles FC,-,-,-,-,-,-,-,Giorgio Chiellini,,,
21/22,Champions League,Juventus FC,1,-,-,-,-,-,7,Giorgio Chiellini,,,
20/21,Champions League,Juventus FC,3,-,-,-,-,-,144,Giorgio Chiellini,,,
19/20,Champions League,Juventus FC,-,-,-,-,-,-,-,Giorgio Chiellini,,,
18/19,Champions League,Juventus FC,6,-,-,1,-,-,540,Giorgio Chiellini,,,
17/18,Champions League,Juventus FC,7,-,-,2,-,-,630,Giorgio Chiellini,,,
16/17,Champions League,Juventus FC,9,1,-,2,-,-,723,Giorgio Chiellini,,,
15/16,Champions League,Juventus FC,6,-,-,1,-,-,540,Giorgio Chiellini,,,
14/15,Champions League,Juventus FC,12,-,-,3,-,-,1080,Giorgio Chiellini,,,
13/14,Europa League,Juventus FC,6,-,-,-,-,-,540,Giorgio Chiellini,,,
13/14,Champions League,Juventus FC,5,-,-,-,-,1,408,Giorgio Chiellini,,,
12/13,Champions League,Juventus FC,8,-,-,4,-,-,699,Giorgio Chiellini,,,
10/11,Europa League,Juventus FC,5,2,-,-,-,-,450,Giorgio Chiellini,,,
10/11,Europa League Qualifying,Juventus FC,4,-,-,1,-,-,360,Giorgio Chiellini,,,
09/10,Europa League,Juventus FC,2,-,-,-,-,-,180,Giorgio Chiellini,,,
09/10,Champions League,Juventus FC,4,1,-,-,-,-,360,Giorgio Chiellini,,,
08/09,Champions League,Juventus FC,7,-,-,1,1,-,611,Giorgio Chiellini,,,
08/09,Champions League Qu.,Juventus FC,1,1,-,1,-,-,90,Giorgio Chiellini,,,
05/06,Champions League,Juventus FC,6,-,-,1,-,-,399,Giorgio Chiellini,,,
2022,Copa Sudamericana,Club Nacional,2,-,-,-,-,-,60,Luis Suárez,,,
21/22,Champions League,Atlético de Madrid,7,1,-,2,-,-,348,Luis Suárez,,,
20/21,Champions League,Atlético de Madrid,6,-,-,1,-,-,461,Luis Suárez,,,
19/20,Champions League,FC Barcelona,7,5,3,2,-,-,568,Luis Suárez,,,
18/19,Champions League,FC Barcelona,10,1,5,3,-,-,900,Luis Suárez,,,
17/18,Champions League,FC Barcelona,10,1,4,2,-,-,884,Luis Suárez,,,
16/17,Champions League,FC Barcelona,9,3,4,2,-,-,810,Luis Suárez,,,
15/16,Champions League,FC Barcelona,9,8,3,2,-,-,810,Luis Suárez,,,
15/16,Club World Cup,FC Barcelona,2,5,-,-,-,-,180,Luis Suárez,,,
15/16,UEFA Super Cup,FC Barcelona,1,1,1,-,-,-,120,Luis Suárez,,,
14/15,Champions League,FC Barcelona,10,7,3,1,-,-,828,Luis Suárez,,,
12/13,Europa League,Liverpool FC,6,3,-,1,-,-,415,Luis Suárez,,,
12/13,Europa League Qualifying,Liverpool FC,2,1,2,-,-,-,180,Luis Suárez,,,
10/11,Champions League,Ajax Amsterdam,5,1,3,3,-,-,450,Luis Suárez,,,
10/11,Champions League Qu.,Ajax Amsterdam,4,3,1,2,-,-,360,Luis Suárez,,,
09/10,Europa League,Ajax Amsterdam,7,2,4,3,-,-,550,Luis Suárez,,,
09/10,Europa League Qualifying,Ajax Amsterdam,2,4,-,-,-,-,136,Luis Suárez,,,
08/09,UEFA Cup,Ajax Amsterdam,10,5,3,3,-,-,893,Luis Suárez,,,
07/08,UEFA Cup,Ajax Amsterdam,2,-,-,1,-,-,132,Luis Suárez,,,
07/08,Champions League Qu.,Ajax Amsterdam,2,1,-,-,-,-,162,Luis Suárez,,,
06/07,UEFA Cup,FC Groningen,2,1,1,-,-,-,79,Luis Suárez,,,
2006,Libertadores,Club Nacional,3,-,-,1,-,-,116,Luis Suárez,,,
2005,Libertadores,Club Nacional,1,-,-,-,-,-,15,Luis Suárez,,,
23/24,Champions League,AC Milan,1,-,-,-,-,-,-,Simon Kjær,,,
22/23,Champions League,AC Milan,6,-,-,-,-,-,509,Simon Kjær,,,
21/22,Champions League,AC Milan,3,-,-,-,-,-,270,Simon Kjær,,,
20/21,Europa League,AC Milan,7,1,-,1,-,-,551,Simon Kjær,,,
20/21,Europa League Qualifying,AC Milan,3,-,-,1,-,-,300,Simon Kjær,,,
19/20,Champions League,Atalanta BC,1,-,-,-,-,-,90,Simon Kjær,,,
18/19,Europa League,Sevilla FC,7,-,-,1,-,-,660,Simon Kjær,,,
18/19,Europa League Qualifying,Sevilla FC,-,-,-,-,-,-,-,Simon Kjær,,,
17/18,Champions League,Sevilla FC,6,1,-,-,-,-,540,Simon Kjær,,,
17/18,Champions League Qu.,Sevilla FC,-,-,-,-,-,-,-,Simon Kjær,,,
16/17,Europa League,Fenerbahce,8,2,-,1,-,-,676,Simon Kjær,,,
16/17,Europa League Qualifying,Fenerbahce,1,-,-,-,-,-,90,Simon Kjær,,,
16/17,Champions League Qu.,Fenerbahce,2,-,1,-,-,-,126,Simon Kjær,,,
15/16,Europa League,Fenerbahce,8,-,-,3,-,-,720,Simon Kjær,,,
15/16,Europa League Qualifying,Fenerbahce,1,-,-,1,-,-,90,Simon Kjær,,,
15/16,Champions League Qu.,Fenerbahce,2,-,-,1,1,-,180,Simon Kjær,,,
14/15,Europa League,LOSC Lille,5,1,-,-,-,-,450,Simon Kjær,,,
14/15,Champions League Qu.,LOSC Lille,4,-,-,-,-,-,360,Simon Kjær,,,
07/08,Viareggio Cup,FC Midtjylland U19,3,1,-,-,-,-,270,Simon Kjær,,,
23/24,Champions League,Manchester United,2,-,-,-,-,-,91,Mason Mount,,,
22/23,Champions League,Chelsea FC,9,-,4,3,-,-,438,Mason Mount,,,
21/22,Champions League,Chelsea FC,7,1,2,-,-,-,535,Mason Mount,,,
21/22,Club World Cup,Chelsea FC,2,-,-,-,-,-,49,Mason Mount,,,
21/22,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,55,Mason Mount,,,
20/21,Champions League,Chelsea FC,11,2,2,4,-,-,761,Mason Mount,,,
19/20,Champions League,Chelsea FC,8,-,-,-,-,-,451,Mason Mount,,,
19/20,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,46,Mason Mount,,,
17/18,Europa League,Vitesse Arnhem,6,-,-,1,-,-,367,Mason Mount,,,
15/16,UEFA Youth League,Chelsea FC UEFA U19,5,-,2,-,-,-,159,Mason Mount,,,
23/24,Champions League,Manchester United,6,2,2,2,-,-,540,Bruno Fernandes,,,
22/23,Europa League,Manchester United,11,1,4,3,-,-,865,Bruno Fernandes,,,
21/22,Champions League,Manchester United,7,-,7,-,-,-,520,Bruno Fernandes,,,
20/21,Europa League,Manchester United,9,5,4,-,-,-,749,Bruno Fernandes,,,
20/21,Champions League,Manchester United,6,4,1,1,-,-,439,Bruno Fernandes,,,
19/20,Europa League,Manchester United,5,3,1,-,-,-,362,Bruno Fernandes,,,
19/20,Europa League,Sporting CP,5,5,3,3,-,-,450,Bruno Fernandes,,,
18/19,Europa League,Sporting CP,8,3,2,3,-,-,703,Bruno Fernandes,,,
17/18,Europa League,Sporting CP,6,3,4,1,-,-,568,Bruno Fernandes,,,
