Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
10/11,LaLiga,FC Barcelona,1,1,-,-,-,1,-,-,,3,Xavi
09/10,LaLiga,FC Barcelona,-,1,1,-,-,1,-,-,,3,Xavi
09/10,Copa del Rey,FC Barcelona,-,-,-,-,-,2,-,-,,2,Xavi
09/10,Champions League,FC Barcelona,-,-,1,-,-,-,-,-,,1,Xavi
09/10,Supercopa,FC Barcelona,-,-,-,-,1,-,-,-,,1,Xavi
08/09,Copa del Rey,FC Barcelona,-,-,-,-,-,1,-,-,,1,Xavi
08/09,LaLiga,FC Barcelona,1,2,-,-,2,-,1,-,,6,Xavi
08/09,Champions League,FC Barcelona,-,-,-,-,1,-,1,-,,2,Xavi
08/09,Champions League Qu.,FC Barcelona,-,1,-,-,-,-,-,-,,1,Xavi
07/08,LaLiga,FC Barcelona,2,-,-,-,-,3,2,-,,7,Xavi
07/08,Champions League,FC Barcelona,1,-,-,-,-,-,-,-,,1,Xavi
07/08,Copa del Rey,FC Barcelona,-,-,-,-,-,-,-,1,,1,Xavi
06/07,Copa del Rey,FC Barcelona,-,2,-,-,-,-,-,-,,2,Xavi
06/07,LaLiga,FC Barcelona,-,1,-,-,1,1,-,-,,3,Xavi
06/07,Supercopa,FC Barcelona,1,-,-,-,-,-,-,-,,1,Xavi
04/05,LaLiga,FC Barcelona,-,1,-,-,-,1,1,-,,3,Xavi
03/04,LaLiga,FC Barcelona,1,-,-,-,-,2,1,-,,4,Xavi
03/04,UEFA Cup,FC Barcelona,-,-,-,-,-,-,1,-,,1,Xavi
02/03,Champions League,FC Barcelona,-,-,-,-,-,1,-,-,,1,Xavi
02/03,LaLiga,FC Barcelona,-,-,1,-,-,1,-,-,,2,Xavi
01/02,LaLiga,FC Barcelona,-,-,-,-,2,1,1,-,,4,Xavi
00/01,LaLiga,FC Barcelona,-,-,1,-,-,-,1,-,,2,Xavi
99/00,Champions League,FC Barcelona,1,-,-,-,-,-,-,-,,1,Xavi
99/00,Copa del Rey,FC Barcelona,-,-,-,-,-,-,1,-,,1,Xavi
99/00,2ª B - Grupo III,FC Barcelona B,1,-,-,-,-,-,-,-,,1,Xavi
98/99,LaLiga,FC Barcelona,-,1,-,-,-,-,-,-,,1,Xavi
98/99,Supercopa,FC Barcelona,-,1,-,-,-,-,-,-,,1,Xavi
97/98,2ª B - Grupo III,FC Barcelona B,-,-,-,-,2,-,-,-,,2,Xavi
2018,Premier Liga,Kairat Almaty,-,1,3,-,1,2,1,1,-,9,Andrei Arshavin
